Movie ID,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metacritic Rating,IMDb Rating,IMDb Votes,IMDb ID
Lady and the Tramp-1955,Lady and the Tramp,1955,G,76 min,"Animation, Adventure, Comedy, Drama, Family, Romance","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Ward Greene (from the story by), Erdman Penner (story), Joe Rinaldi (story), Ralph Wright (story), Don DaGradi (story)","Peggy Lee, Larry Roberts, Bill Baucom, Verna Felton",The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,English,USA,Nominated for 1 BAFTA Film Award. Another 1 win & 1 nomination.,78,7.3,"113,452",tt0048280
The Ladykillers-1955,The Ladykillers,1955,Not Rated,91 min,"Comedy, Crime",Alexander Mackendrick,"William Rose (story), William Rose (screenplay)","Alec Guinness, Cecil Parker, Herbert Lom, Peter Sellers",Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,English,UK,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,91,7.7,"24,624",tt0048281
The Lady Vanishes-1938,The Lady Vanishes,1938,Not Rated,96 min,"Film-Noir, Mystery, Thriller",Alfred Hitchcock,"Ethel Lina White (based upon the story by: ""The Wheel Spins""), Sidney Gilliat (screen play), Frank Launder (screen play)","Margaret Lockwood, Michael Redgrave, Paul Lukas, May Whitty","While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.","English, German, French, Italian",UK,1 win & 1 nomination.,N/A,7.8,"43,893",tt0030341
Il Mare-2000,Il Mare,2000,N/A,105 min,"Drama, Fantasy, Romance",Hyun-seung Lee,"Eun-Jeong Kim, Tae-Yeon Won (letters), Ji-na Yeo","Jung-jae Lee, Ji-hyun Jun, Mu-saeng Kim, Seung-yeon Jo","End 1999, a voice actor moves from Il Mare, a seaside house, and she leaves an Xmas card in it's (magical) mailbox. He, an architect student, receives it end 1997, and so begins a friendship separated by 2 years.",Korean,South Korea,N/A,N/A,7.6,"7,561",tt0282599
Last Holiday-1950,Last Holiday,1950,NOT RATED,88 min,"Comedy, Drama, Romance",Henry Cass,J.B. Priestley (screenplay),"Alec Guinness, Beatrice Campbell, Kay Walsh, Grégoire Aslan","When a lonely, unappreciated farm equipment salesman discovers he has only weeks to live, he withdraws his savings for a final holiday at a 'posh' resort.",English,UK,N/A,N/A,7.6,"1,075",tt0042665
The Virgin Spring-1960,The Virgin Spring,1960,Not Rated,89 min,Drama,Ingmar Bergman,Ulla Isaksson,"Max von Sydow, Birgitta Valberg, Gunnel Lindblom, Birgitta Pettersson","An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.","Swedish, German",Sweden,Won 1 Oscar. Another 4 wins & 2 nominations.,N/A,8.1,"24,470",tt0053976
The Last Hurrah-1958,The Last Hurrah,1958,Approved,121 min,"Comedy, Drama",John Ford,"Frank S. Nugent (screen play), Edwin O'Connor (based upon the novel by)","Spencer Tracy, Jeffrey Hunter, Dianne Foster, Pat O'Brien","Frank Skeffington is an old Irish-American political boss, running for re-election as mayor of a U.S. town for the last time.",English,USA,Nominated for 1 BAFTA Film Award. Another 3 wins.,N/A,7.4,"2,603",tt0051845
The Last of the Mohicans-1920,The Last of the Mohicans,1920,Not Rated,73 min,"Action, Adventure, Drama","Clarence Brown, Maurice Tourneur","James Fenimore Cooper (novel), Robert Dillon (scenario)","Wallace Beery, Barbara Bedford, Alan Roscoe, Lillian Hall","As Alice and Cora Munro attempt to find their father, a British officer in the French and Indian War, they are set upon by French soldiers and their cohorts, Huron tribesmen led by the evil...",English,USA,1 win.,N/A,6.7,"1,051",tt0011387
Les Misérables-1934,Les Misérables,1934,NOT RATED,281 min,Drama,Raymond Bernard,"Victor Hugo (novel), Raymond Bernard, André Lang","Harry Baur, Charles Vanel, Paul Azaïs, Max Dearly","The lives of numerous people over the course of 20 years in 19th century France, weaved together by the story of an ex-convict named Jean Valjean on the run from an obsessive police inspector, who pursues him for only a minor offense.",French,France,1 win.,N/A,8.1,"1,248",tt0025509
Let the Right One In-2008,Let the Right One In,2008,R,114 min,"Drama, Horror, Romance",Tomas Alfredson,"John Ajvide Lindqvist (screenplay), John Ajvide Lindqvist (novel)","Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl","Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.","Swedish, Spanish",Sweden,Nominated for 1 BAFTA Film Award. Another 73 wins & 52 nominations.,82,7.9,"198,071",tt1139797
The Lion King-1994,The Lion King,1994,G,88 min,"Animation, Adventure, Drama, Family, Musical","Roger Allers, Rob Minkoff","Irene Mecchi (screenplay by), Jonathan Roberts (screenplay by), Linda Woolverton (screenplay by), Burny Mattinson (story), Barry Johnson (story), Lorna Cook (story), Thom Enriquez (story), Andy Gaskill (story), Gary Trousdale (story), Jim Capobianco (story), Kevin Harkey (story), Jorgen Klubien (story), Chris Sanders (story), Tom Sito (story), Larry Leker (story), Joe Ranft (story), Rick Maki (story), Ed Gombert (story), Francis Glebas (story), Mark Kausler (story), J.T. Allen (additional story material), George Scribner (additional story material), Miguel Tejada-Flores (additional story material), Jenny Tripp (additional story material), Bob Tzudiker (additional story material), Christopher Vogler (additional story material), Kirk Wise (additional story material), Noni White (additional story material), Brenda Chapman (story supervisor)","Rowan Atkinson, Matthew Broderick, Niketa Calame-Harris, Jim Cummings","A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.","English, Swahili, Xhosa, Zulu",USA,Won 2 Oscars. Another 33 wins & 29 nominations.,88,8.5,"875,159",tt0110357
Little Fugitive-1953,Little Fugitive,1953,Not Rated,80 min,"Drama, Family","Ray Ashley, Morris Engel, Ruth Orkin","Ray Ashley, Morris Engel, Ruth Orkin, Ray Ashley (screen play)","Richard Brewster, Winifred Cushing, Jay Williams, Will Lee","A young boy fears that he shot his older brother, who is only faking. He then runs away to Coney Island, a crowded beach area, and gets money by returning soda bottles for their deposits.",English,USA,Nominated for 1 Oscar. Another 4 wins & 2 nominations.,91,7.6,"2,118",tt0046004
Little Miss Marker-1934,Little Miss Marker,1934,PASSED,80 min,"Comedy, Drama, Family",Alexander Hall,"Damon Runyon (original story), William R. Lipman (screenplay), Sam Hellman (screenplay), Gladys Lehman (screenplay)","Adolphe Menjou, Dorothy Dell, Charles Bickford, Shirley Temple","Little Martha Jane, aka Little Miss Marker (Temple) is left with the bookmaker Sorrowful Jones by her dad as part of a bet on a horserace. Sorrowful (Menjou) and his group of fellow bookies...",English,USA,1 win.,N/A,7.1,"1,055",tt0025410
The Little Shop of Horrors-1960,The Little Shop of Horrors,1960,Not Rated,72 min,"Comedy, Horror","Roger Corman, Charles B. Griffith, Mel Welles",Charles B. Griffith (screenplay),"Jonathan Haze, Jackie Joseph, Mel Welles, Dick Miller","A clumsy young man nurtures a plant and discovers that it's carnivorous, forcing him to kill to feed it.",English,USA,N/A,N/A,6.3,"15,133",tt0054033
Little Women-1933,Little Women,1933,Not Rated,115 min,"Drama, Family, Romance",George Cukor,"Louisa May Alcott (by), Sarah Y. Mason (screen play), Victor Heerman (screen play)","Katharine Hepburn, Joan Bennett, Paul Lukas, Edna May Oliver",A chronicle of the lives of a group of sisters growing up in nineteenth-century America.,"English, German",USA,Won 1 Oscar. Another 3 wins & 3 nominations.,92,7.2,"5,752",tt0024264
The Lodger: A Story of the London Fog-1927,The Lodger: A Story of the London Fog,1927,Not Rated,68 min,"Crime, Drama, Mystery, Thriller",Alfred Hitchcock,"Marie Belloc Lowndes (from the novel by), Eliot Stannard (scenario)","Marie Ault, Arthur Chesney, June Tripp, Malcolm Keen",A landlady suspects her new lodger is the madman killing women in London.,English,UK,N/A,N/A,7.3,"9,308",tt0017075
Loft-2008,Loft,2008,N/A,118 min,"Crime, Drama, Mystery, Romance, Thriller",Erik Van Looy,Bart De Pauw (screenplay),"Koen De Bouw, Filip Peeters, Matthias Schoenaerts, Bruno Vanden Broecke","Five close friends, all of them married, share a loft to meet their mistresses. One day they find the body of a young woman in the loft. Since there are only five keys to the loft, the five men begin to suspect each other of murder.","Flemish, Dutch",Belgium,N/A,N/A,7.3,"20,017",tt0926762
The Longest Yard-1974,The Longest Yard,1974,R,121 min,"Comedy, Crime, Drama, Sport",Robert Aldrich,"Tracy Keenan Wynn (screenplay), Al Ruddy (story)","Burt Reynolds, Eddie Albert, Ed Lauter, Michael Conrad","A sadistic warden asks a former pro quarterback, now serving time in his prison, to put together a team of inmates to take on (and get pummeled by) the guards.",English,USA,Nominated for 1 Oscar. Another 2 wins & 3 nominations.,61,7.1,"15,829",tt0071771
His Royal Slyness-1920,His Royal Slyness,1920,N/A,27 min,"Comedy, Short",Hal Roach,H.M. Walker (titles),"Harold Lloyd, Mildred Davis, 'Snub' Pollard, Gus Leonard",An American book salesman (Lloyd) is persuaded to go to the kingdom of Thermosa to impersonate the Prince. He is greeted by a peasants' revolt before the real prince shows up to claim his ...,English,USA,N/A,N/A,6.3,392,tt0010258
"The Long, Hot Summer-1958","The Long, Hot Summer",1958,Not Rated,115 min,Drama,Martin Ritt,"William Faulkner (novel), Irving Ravetch (screenplay), Harriet Frank Jr. (screenplay)","Paul Newman, Joanne Woodward, Anthony Franciosa, Orson Welles","Accused barn burner and con man Ben Quick arrives in a small Mississippi town and quickly ingratiates himself with its richest family, the Varners.",English,USA,2 wins & 4 nominations.,N/A,7.4,"9,163",tt0051878
Le Jour Se Leve-1939,Le Jour Se Leve,1939,Not Rated,93 min,"Crime, Drama, Romance, Thriller",Marcel Carné,"Jacques Viot (original scenario), Jacques Prévert (dialogue)","Jean Gabin, Jules Berry, Arletty, Mady Berry","After committing a murder, a man locks himself in his apartment and recollects the events that led him to the killing.",French,France,1 nomination.,N/A,7.8,"5,928",tt0031514
Lost Horizon-1937,Lost Horizon,1937,Approved,132 min,"Adventure, Drama, Fantasy, Mystery",Frank Capra,"Robert Riskin (screenplay), James Hilton (novel)","Ronald Colman, Jane Wyatt, Edward Everett Horton, John Howard",A plane crash delivers a group of people to the secluded land of Shangri-La - but is it the miraculous utopia it appears to be?,"English, Mandarin",USA,Won 2 Oscars. Another 1 win & 6 nominations.,N/A,7.7,"11,421",tt0029162
The Lost World-1925,The Lost World,1925,Passed,106 min,"Adventure, Fantasy, Sci-Fi",Harry O. Hoyt,"Arthur Conan Doyle (based upon the 1912 novel by), Marion Fairfax (screenplay)","Bessie Love, Lewis Stone, Wallace Beery, Lloyd Hughes",The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.,N/A,USA,1 win & 1 nomination.,N/A,7.0,"4,294",tt0016039
Swamp Water-1941,Swamp Water,1941,APPROVED,88 min,"Crime, Drama, Mystery","Jean Renoir, Irving Pichel","Vereen Bell (novel), Dudley Nichols","Walter Brennan, Walter Huston, Anne Baxter, Dana Andrews",A hunter happens upon a fugitive and his daughter living in a Georgia swamp. He falls in love with the girl and persuades the fugitive to return to town.,English,USA,N/A,N/A,7.1,"1,217",tt0034251
M-1931,M,1931,Not Rated,99 min,"Crime, Mystery, Thriller",Fritz Lang,"Thea von Harbou (script), Fritz Lang (script)","Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",German,Germany,2 wins.,N/A,8.3,"132,434",tt0022100
