,Movie ID Remake,Remake Title,Remake Year,Type Remake,Movie ID Original,Original Title,Original Year,Type Original
158,The Eye-2008,The Eye,2008,Remake,The Eye-2002,The Eye,2002,Original
159,Excursion to the Moon-1908,Excursion to the Moon,1908,Remake,A Trip to the Moon-1902,A Trip to the Moon,1902,Original
160,Exodus: Gods and Kings-2014,Exodus: Gods and Kings,2014,Remake,The Ten Commandments-1923,The Ten Commandments,1923,Original
161,The Experiment-2010,The Experiment,2010,Remake,Das Experiment-2001,Das Experiment,2001,Original
162,Fame-2009,Fame,2009,Remake,Fame-1980,Fame,1980,Original
163,"Farewell, My Lovely-1975","Farewell, My Lovely",1975,Remake,The Falcon Takes Over-1942,The Falcon Takes Over,1942,Original
164,The Farmer Takes a Wife-1953,The Farmer Takes a Wife,1953,Remake,The Farmer Takes a Wife-1935,The Farmer Takes a Wife,1935,Original
165,The Farmer's Wife-1941,The Farmer's Wife,1941,Remake,The Farmer's Wife-1928,The Farmer's Wife,1928,Original
166,Fatal Attraction-1987,Fatal Attraction,1987,Remake,Diversion-1980,Diversion,1980,Original
167,Father of the Bride-1991,Father of the Bride,1991,Remake,Father of the Bride-1950,Father of the Bride,1950,Original
168,Father of the Bride Part II-1995,Father of the Bride Part II,1995,Remake,Father's Little Dividend-1951,Father's Little Dividend,1951,Original
169,Fathers' Day-1997,Fathers' Day,1997,Remake,Les Compères-1983,Les Compères,1983,Original
170,Fancy Pants-1950,Fancy Pants,1950,Remake,Ruggles of Red Gap-1935,Ruggles of Red Gap,1935,Original
171,FC Venus-2006,FC Venus,2006,Remake,FC Venus-2005,FC Venus,2005,Original
172,The Fiend Who Walked the West-1958,The Fiend Who Walked the West,1958,Remake,Kiss of Death-1947,Kiss of Death,1947,Original
173,The Firm-2009,The Firm,2009,Remake,The Firm-1988,The Firm,1988,Original
174,A Fistful of Dollars/Per un pugno di dollari-1964,A Fistful of Dollars/Per un pugno di dollari,1964,Remake,Yojimbo-1961,Yojimbo,1961,Original
175,Back from Eternity-1956,Back from Eternity,1956,Remake,Five Came Back-1939,Five Came Back,1939,Original
176,Flatliners-2017,Flatliners,2017,Remake,Flatliners-1990,Flatliners,1990,Original
177,Fled-1996,Fled,1996,Remake,The Defiant Ones-1958,The Defiant Ones,1958,Original
178,Flight of the Phoenix-2004,Flight of the Phoenix,2004,Remake,The Flight of the Phoenix-1965,The Flight of the Phoenix,1965,Original
179,Flipper-1996,Flipper,1996,Remake,Flipper-1963,Flipper,1963,Original
180,Floating Weeds-1959,Floating Weeds,1959,Remake,A Story of Floating Weeds-1934,A Story of Floating Weeds,1934,Original
181,Flubber-1997,Flubber,1997,Remake,The Absent-Minded Professor-1961,The Absent-Minded Professor,1961,Original
182,The Fly-1986,The Fly,1986,Remake,The Fly-1958,The Fly,1958,Original
183,The Fog-2005,The Fog,2005,Remake,The Fog-1980,The Fog,1980,Original
184,Footloose-2011,Footloose,2011,Remake,Footloose-1984,Footloose,1984,Original
185,Forbidden Fruit-1921,Forbidden Fruit,1921,Remake,The Golden Chance-1915,The Golden Chance,1915,Original
186,Fortunes of Captain Blood-1950,Fortunes of Captain Blood,1950,Remake,Captain Blood-1924,Captain Blood,1924,Original
187,Freaky Friday-2018,Freaky Friday,2018,Remake,Freaky Friday-1976,Freaky Friday,1976,Original
188,Frenchman's Creek-1998,Frenchman's Creek,1998,Remake,Frenchman's Creek-1944,Frenchman's Creek,1944,Original
189,Friday the 13th-2009,Friday the 13th,2009,Remake,Friday the 13th-1980,Friday the 13th,1980,Original
190,Fright Night-2011,Fright Night,2011,Remake,Fright Night-1985,Fright Night,1985,Original
191,The Front Page-1974,The Front Page,1974,Remake,The Front Page-1931,The Front Page,1931,Original
192,Fun with Dick and Jane-2005,Fun with Dick and Jane,2005,Remake,Fun with Dick and Jane-1977,Fun with Dick and Jane,1977,Original
193,Funny Games-2008,Funny Games,2008,Remake,Funny Games-1997,Funny Games,1997,Original
194,Gaby-1956,Gaby,1956,Remake,Waterloo Bridge-1931,Waterloo Bridge,1931,Original
195,Gambit-2012,Gambit,2012,Remake,Gambit-1966,Gambit,1966,Original
196,The Gambler-2014,The Gambler,2014,Remake,The Gambler-1974,The Gambler,1974,Original
197,Gaslight-1944,Gaslight,1944,Remake,Gaslight-1940,Gaslight,1940,Original
198,Get Carter-2000,Get Carter,2000,Remake,Get Carter-1971,Get Carter,1971,Original
199,The Getaway-1994,The Getaway,1994,Remake,The Getaway-1972,The Getaway,1972,Original
200,Geronimo-1939,Geronimo,1939,Remake,The Lives of a Bengal Lancer-1935,The Lives of a Bengal Lancer,1935,Original
201,Gharshana-2004,Gharshana,2004,Remake,Kaakha Kaakha-2003,Kaakha Kaakha,2003,Original
202,Ghostbusters-2016,Ghostbusters,2016,Remake,Ghostbusters-1984,Ghostbusters,1984,Original
203,Ghost Theater-2015,Ghost Theater,2015,Remake,Don't Look Up-1996,Don't Look Up,1996,Original
204,Gloria-1999,Gloria,1999,Remake,Gloria-1980,Gloria,1980,Original
205,Godzilla-1998,Godzilla,1998,Remake,Gojira-1954,Gojira,1954,Original
206,Going in Style-2017,Going in Style,2017,Remake,Going in Style-1979,Going in Style,1979,Original
207,Gone in 60 Seconds-2000,Gone in 60 Seconds,2000,Remake,Gone in 60 Seconds-1974,Gone in 60 Seconds,1974,Original
208,The Good Companions-1957,The Good Companions,1957,Remake,The Good Companions-1933,The Good Companions,1933,Original
209,Good Morning-1959,Good Morning,1959,Remake,"I Was Born, But...-1932","I Was Born, But...",1932,Original
210,The Goodbye Girl-2004,The Goodbye Girl,2004,Remake,The Goodbye Girl-1977,The Goodbye Girl,1977,Original
211,"Goodbye, Mr. Chips-1969","Goodbye, Mr. Chips",1969,Remake,"Goodbye, Mr. Chips-1939","Goodbye, Mr. Chips",1939,Original
212,The Great Gatsby-2013,The Great Gatsby,2013,Remake,The Great Gatsby-1926,The Great Gatsby,1926,Original
213,Great Expectations-2012,Great Expectations,2012,Remake,Great Expectations-1917,Great Expectations,1917,Original
214,The Great Waltz-1972,The Great Waltz,1972,Remake,Waltzes from Vienna-1934,Waltzes from Vienna,1934,Original
215,The Gun Runners-1958,The Gun Runners,1958,Remake,To Have and Have Not-1944,To Have and Have Not,1944,Original
216,Guess Who-2005,Guess Who,2005,Remake,Guess Who's Coming to Dinner-1967,Guess Who's Coming to Dinner,1967,Original
217,Gulliver's Travels-2010,Gulliver's Travels,2010,Remake,Gulliver's Travels-1939,Gulliver's Travels,1939,Original
218,Halloween-2007,Halloween,2007,Remake,Halloween-1978,Halloween,1978,Original
219,The Hand-1981,The Hand,1981,Remake,The Beast with Five Fingers-1946,The Beast with Five Fingers,1946,Original
220,The Hands of Orlac-1960,The Hands of Orlac,1960,Remake,The Hands of Orlac-1924,The Hands of Orlac,1924,Original
221,Happy New Year-1987,Happy New Year,1987,Remake,La bonne année-1973,La bonne année,1973,Original
222,Hara-Kiri: Death of a Samurai-2011,Hara-Kiri: Death of a Samurai,2011,Remake,Harakiri-1962,Harakiri,1962,Original
223,Harriet Craig-1950,Harriet Craig,1950,Remake,Craig's Wife-1936,Craig's Wife,1936,Original
224,The Hasty Heart-1983,The Hasty Heart,1983,Remake,The Hasty Heart-1949,The Hasty Heart,1949,Original
225,The Haunting-1999,The Haunting,1999,Remake,The Haunting-1963,The Haunting,1963,Original
226,Head Above Water-1996,Head Above Water,1996,Remake,Hodet over vannet-1993,Hodet over vannet,1993,Original
227,The Heartbreak Kid-2007,The Heartbreak Kid,2007,Remake,The Heartbreak Kid-1972,The Heartbreak Kid,1972,Original
228,Heart of Darkness-1993,Heart of Darkness,1993,Remake,Heart of Darkness-1958,Heart of Darkness,1958,Original
229,Heat-1995,Heat,1995,Remake,L.A. Takedown-1989,L.A. Takedown,1989,Original
230,High Noon-2000,High Noon,2000,Remake,High Noon-1952,High Noon,1952,Original
231,High Society-1956,High Society,1956,Remake,The Philadelphia Story-1940,The Philadelphia Story,1940,Original
232,The Hills Have Eyes-2006,The Hills Have Eyes,2006,Remake,The Hills Have Eyes-1977,The Hills Have Eyes,1977,Original
233,The Hitcher-2007,The Hitcher,2007,Remake,The Hitcher-1986,The Hitcher,1986,Original
234,Holiday-1938,Holiday,1938,Remake,Holiday-1930,Holiday,1930,Original
235,Homeward Bound: The Incredible Journey-1993,Homeward Bound: The Incredible Journey,1993,Remake,The Incredible Journey-1963,The Incredible Journey,1963,Original
236,The Horn Blows at Midnight-1953,The Horn Blows at Midnight,1953,Remake,The Horn Blows at Midnight-1945,The Horn Blows at Midnight,1945,Original
237,The Hound of the Baskervilles-2002,The Hound of the Baskervilles,2002,Remake,The Hound of the Baskervilles-1937,The Hound of the Baskervilles,1937,Original
238,House of Wax-2005,House of Wax,2005,Remake,Mystery of the Wax Museum-1933,Mystery of the Wax Museum,1933,Original
239,House on Haunted Hill-1999,House on Haunted Hill,1999,Remake,House on Haunted Hill-1959,House on Haunted Hill,1959,Original
240,How to Make a Monster-2001,How to Make a Monster,2001,Remake,How to Make a Monster-1958,How to Make a Monster,1958,Original
241,The Adventures of Huck Finn-1993,The Adventures of Huck Finn,1993,Remake,Huckleberry Finn-1920,Huckleberry Finn,1920,Original
242,The Hunchback-1997,The Hunchback,1997,Remake,The Hunchback of Notre Dame-1923,The Hunchback of Notre Dame,1923,Original
243,Hurricane-1979,Hurricane,1979,Remake,The Hurricane-1937,The Hurricane,1937,Original
244,I Am Legend-2007,I Am Legend,2007,Remake,The Last Man on Earth-1964,The Last Man on Earth,1964,Original
245,I Died a Thousand Times-1955,I Died a Thousand Times,1955,Remake,High Sierra-1941,High Sierra,1941,Original
246,I Married a Monster-1998,I Married a Monster,1998,Remake,I Married a Monster from Outer Space-1958,I Married a Monster from Outer Space,1958,Original
247,The Informer-1935,The Informer,1935,Remake,The Informer-1929,The Informer,1929,Original
248,Inherit the Wind-1999,Inherit the Wind,1999,Remake,Inherit the Wind-1960,Inherit the Wind,1960,Original
249,I Saw What You Did-1988,I Saw What You Did,1988,Remake,I Saw What You Did-1965,I Saw What You Did,1965,Original
250,I Spit on Your Grave-2010,I Spit on Your Grave,2010,Remake,I Spit on Your Grave-1978,I Spit on Your Grave,1978,Original
