Movie ID,Remake Title,Remake Year,Remake IMDb ID
The Lost World-2001,The Lost World,2001,tt0302739
Love Affair-1994,Love Affair,1994,tt0110391
Love Don't Cost a Thing-2003,Love Don't Cost a Thing,2003,tt0337592
Lure of the Wilderness-1952,Lure of the Wilderness,1952,tt0044859
M-1951,M,1951,tt0043766
Mädchen in Uniform-1958,Mädchen in Uniform,1958,tt0051964
Mary-1931,Mary,1931,tt0021128
The Magnificent Ambersons-2002,The Magnificent Ambersons,2002,tt0252147
Magnificent Obsession-1954,Magnificent Obsession,1954,tt0047203
Main Aisa Hi Hoon-2005,Main Aisa Hi Hoon,2005,tt0444874
Major Payne-1995,Major Payne,1995,tt0110443
The Maltese Falcon-1941,The Maltese Falcon,1941,tt0033870
The Man in the Iron Mask-1998,The Man in the Iron Mask,1998,tt0120744
The Man with One Red Shoe-1985,The Man with One Red Shoe,1985,tt0089543
The Man Who Knew Too Much-1956,The Man Who Knew Too Much,1956,tt0049470
The Man Who Loved Women-1983,The Man Who Loved Women,1983,tt0085891
The Manchurian Candidate-2004,The Manchurian Candidate,2004,tt0368008
Bhool Bhulaiyaa-2007,Bhool Bhulaiyaa,2007,tt0995031
"Marcelino Pan y Vino-1979, made-for-TV",Marcelino Pan y Vino,"1979, made-for-TV",
Marilyn Hotchkiss' Ballroom Dancing and Charm School-2005,Marilyn Hotchkiss' Ballroom Dancing and Charm School,2005,
Mark of the Vampire-1935,Mark of the Vampire,1935,tt0026685
The Mark of Zorro-1974,The Mark of Zorro,1974,tt0071817
Martyrs-2015,Martyrs,2015,tt1663655
Masquerade in Mexico-1945,Masquerade in Mexico,1945,tt0037903
The Mechanic-2011,The Mechanic,2011,tt0472399
Meet Joe Black-1998,Meet Joe Black,1998,tt0119643
Meet Me in St. Louis-1966,Meet Me in St. Louis,1966,tt0250584
Men Don't Leave-1990,Men Don't Leave,1990,tt0100134
"Merry Christmas, George Bailey-1997","Merry Christmas, George Bailey",1997,tt0136399
The Merry Widow-1952,The Merry Widow,1952,tt0044900
Merton of the Movies-1947,Merton of the Movies,1947,tt0039619
Messenger-1994,Messenger,1994,tt0110498
Mighty Joe Young-1998,Mighty Joe Young,1998,tt0120751
Miracle on 34th Street-1994,Miracle on 34th Street,1994,tt0110527
The Miracle Man-1932,The Miracle Man,1932,tt0023228
The Mirror Has Two Faces-1996,The Mirror Has Two Faces,1996,tt0117057
Mirrors-2008,Mirrors,2008,tt0790686
20 Once Again-2015,20 Once Again,2015,
Mixed Nuts-1994,Mixed Nuts,1994,tt0110538
Moby Dick-2011,Moby Dick,2011,
